         255434 function calls (248113 primitive calls) in 0.640 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       34    0.003    0.000    1.198    0.035 __init__.py:1(<module>)
    344/7    0.005    0.000    0.600    0.086 <frozen importlib._bootstrap>:1349(_find_and_load)
    342/6    0.003    0.000    0.599    0.100 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    318/6    0.003    0.000    0.597    0.100 <frozen importlib._bootstrap>:911(_load_unlocked)
    271/6    0.002    0.000    0.597    0.099 <frozen importlib._bootstrap_external>:989(exec_module)
   791/13    0.004    0.000    0.595    0.046 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   410/29    0.001    0.000    0.454    0.016 {built-in method builtins.__import__}
  383/109    0.002    0.000    0.385    0.004 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      271    0.005    0.000    0.118    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
      231    0.003    0.000    0.097    0.000 __init__.py:280(_compile)
      106    0.000    0.000    0.095    0.001 __init__.py:226(compile)
       86    0.001    0.000    0.090    0.001 _compiler.py:740(compile)
        4    0.000    0.000    0.086    0.022 exceptions.py:1(<module>)
        1    0.000    0.000    0.084    0.084 __config__.py:1(<module>)
        1    0.000    0.000    0.080    0.080 base_events.py:1(<module>)
      271    0.009    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      339    0.007    0.000    0.067    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
  734/727    0.026    0.000    0.067    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.064    0.064 _base_connection.py:1(<module>)
      271    0.063    0.000    0.063    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.052    0.052 compat.py:1(<module>)
       86    0.001    0.000    0.052    0.001 _parser.py:969(parse)
      336    0.001    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      336    0.003    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
